City1,City2,Passenger_Load_Factor,Year,Month_num,Dep_Long,Dep_Lat
ALBURY,SYDNEY,68.3,2019,1,146.923935,-36.07494000000001
ALBURY,SYDNEY,63.4,2019,2,146.923935,-36.07494000000001
ALBURY,SYDNEY,66.6,2019,3,146.923935,-36.07494000000001
ALBURY,SYDNEY,69.9,2019,4,146.923935,-36.07494000000001
ALBURY,SYDNEY,67.7,2019,5,146.923935,-36.07494000000001
ALBURY,SYDNEY,69.1,2019,6,146.923935,-36.07494000000001
ALBURY,SYDNEY,71.1,2019,7,146.923935,-36.07494000000001
ALBURY,SYDNEY,75.0,2019,8,146.923935,-36.07494000000001
ALBURY,SYDNEY,72.7,2019,9,146.923935,-36.07494000000001
ALBURY,SYDNEY,74.0,2019,10,146.923935,-36.07494000000001
ALBURY,SYDNEY,73.3,2019,11,146.923935,-36.07494000000001
ALBURY,SYDNEY,70.9,2019,12,146.923935,-36.07494000000001
ADELAIDE,ALICE SPRINGS,66.6,2019,1,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,66.1,2019,2,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,67.9,2019,3,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,78.1,2019,4,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,73.4,2019,5,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,79.6,2019,6,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,82.0,2019,7,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,75.4,2019,8,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,77.5,2019,9,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,78.9,2019,10,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,76.9,2019,11,138.598633,-34.928661
ADELAIDE,ALICE SPRINGS,64.5,2019,12,138.598633,-34.928661
ADELAIDE,BRISBANE,75.3,2019,1,138.598633,-34.928661
ADELAIDE,BRISBANE,72.5,2019,2,138.598633,-34.928661
ADELAIDE,BRISBANE,78.1,2019,3,138.598633,-34.928661
ADELAIDE,BRISBANE,80.4,2019,4,138.598633,-34.928661
ADELAIDE,BRISBANE,73.8,2019,5,138.598633,-34.928661
ADELAIDE,BRISBANE,72.0,2019,6,138.598633,-34.928661
ADELAIDE,BRISBANE,82.6,2019,7,138.598633,-34.928661
ADELAIDE,BRISBANE,79.2,2019,8,138.598633,-34.928661
ADELAIDE,BRISBANE,80.1,2019,9,138.598633,-34.928661
ADELAIDE,BRISBANE,86.2,2019,10,138.598633,-34.928661
ADELAIDE,BRISBANE,81.5,2019,11,138.598633,-34.928661
ADELAIDE,BRISBANE,80.6,2019,12,138.598633,-34.928661
ADELAIDE,CANBERRA,58.6,2019,1,138.598633,-34.928661
ADELAIDE,CANBERRA,62.8,2019,2,138.598633,-34.928661
ADELAIDE,CANBERRA,72.1,2019,3,138.598633,-34.928661
ADELAIDE,CANBERRA,66.8,2019,4,138.598633,-34.928661
ADELAIDE,CANBERRA,60.8,2019,5,138.598633,-34.928661
ADELAIDE,CANBERRA,64.4,2019,6,138.598633,-34.928661
ADELAIDE,CANBERRA,62.4,2019,7,138.598633,-34.928661
ADELAIDE,CANBERRA,64.0,2019,8,138.598633,-34.928661
ADELAIDE,CANBERRA,66.9,2019,9,138.598633,-34.928661
ADELAIDE,CANBERRA,70.1,2019,10,138.598633,-34.928661
ADELAIDE,CANBERRA,75.5,2019,11,138.598633,-34.928661
ADELAIDE,CANBERRA,72.7,2019,12,138.598633,-34.928661
ADELAIDE,MELBOURNE,77.7,2019,1,138.598633,-34.928661
ADELAIDE,MELBOURNE,80.6,2019,2,138.598633,-34.928661
ADELAIDE,MELBOURNE,82.1,2019,3,138.598633,-34.928661
ADELAIDE,MELBOURNE,81.7,2019,4,138.598633,-34.928661
ADELAIDE,MELBOURNE,76.3,2019,5,138.598633,-34.928661
ADELAIDE,MELBOURNE,76.1,2019,6,138.598633,-34.928661
ADELAIDE,MELBOURNE,82.8,2019,7,138.598633,-34.928661
ADELAIDE,MELBOURNE,82.2,2019,8,138.598633,-34.928661
ADELAIDE,MELBOURNE,81.0,2019,9,138.598633,-34.928661
ADELAIDE,MELBOURNE,85.8,2019,10,138.598633,-34.928661
ADELAIDE,MELBOURNE,85.8,2019,11,138.598633,-34.928661
ADELAIDE,MELBOURNE,81.7,2019,12,138.598633,-34.928661
ADELAIDE,GOLD COAST,77.0,2019,1,138.598633,-34.928661
ADELAIDE,GOLD COAST,78.3,2019,2,138.598633,-34.928661
ADELAIDE,GOLD COAST,79.5,2019,3,138.598633,-34.928661
ADELAIDE,GOLD COAST,81.9,2019,4,138.598633,-34.928661
ADELAIDE,GOLD COAST,79.3,2019,5,138.598633,-34.928661
ADELAIDE,GOLD COAST,81.6,2019,6,138.598633,-34.928661
ADELAIDE,GOLD COAST,86.9,2019,7,138.598633,-34.928661
ADELAIDE,GOLD COAST,89.4,2019,8,138.598633,-34.928661
ADELAIDE,GOLD COAST,86.6,2019,9,138.598633,-34.928661
ADELAIDE,GOLD COAST,91.6,2019,10,138.598633,-34.928661
ADELAIDE,GOLD COAST,85.4,2019,11,138.598633,-34.928661
ADELAIDE,GOLD COAST,85.8,2019,12,138.598633,-34.928661
ADELAIDE,PERTH,79.0,2019,1,138.598633,-34.928661
ADELAIDE,PERTH,75.3,2019,2,138.598633,-34.928661
ADELAIDE,PERTH,72.6,2019,3,138.598633,-34.928661
ADELAIDE,PERTH,77.1,2019,4,138.598633,-34.928661
ADELAIDE,PERTH,73.1,2019,5,138.598633,-34.928661
ADELAIDE,PERTH,69.8,2019,6,138.598633,-34.928661
ADELAIDE,PERTH,74.5,2019,7,138.598633,-34.928661
ADELAIDE,PERTH,76.0,2019,8,138.598633,-34.928661
ADELAIDE,PERTH,77.8,2019,9,138.598633,-34.928661
ADELAIDE,PERTH,81.4,2019,10,138.598633,-34.928661
ADELAIDE,PERTH,81.6,2019,11,138.598633,-34.928661
ADELAIDE,PERTH,83.6,2019,12,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,59.7,2019,1,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,56.4,2019,2,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,61.0,2019,3,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,62.2,2019,4,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,57.0,2019,5,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,55.9,2019,6,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,53.1,2019,7,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,55.8,2019,8,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,60.9,2019,9,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,65.3,2019,10,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,68.0,2019,11,138.598633,-34.928661
ADELAIDE,PORT LINCOLN,67.6,2019,12,138.598633,-34.928661
ADELAIDE,SYDNEY,80.9,2019,1,138.598633,-34.928661
ADELAIDE,SYDNEY,81.0,2019,2,138.598633,-34.928661
ADELAIDE,SYDNEY,84.7,2019,3,138.598633,-34.928661
ADELAIDE,SYDNEY,84.8,2019,4,138.598633,-34.928661
ADELAIDE,SYDNEY,80.4,2019,5,138.598633,-34.928661
ADELAIDE,SYDNEY,78.5,2019,6,138.598633,-34.928661
ADELAIDE,SYDNEY,82.8,2019,7,138.598633,-34.928661
ADELAIDE,SYDNEY,86.1,2019,8,138.598633,-34.928661
ADELAIDE,SYDNEY,84.5,2019,9,138.598633,-34.928661
ADELAIDE,SYDNEY,89.4,2019,10,138.598633,-34.928661
ADELAIDE,SYDNEY,87.7,2019,11,138.598633,-34.928661
ADELAIDE,SYDNEY,84.6,2019,12,138.598633,-34.928661
ARMIDALE,SYDNEY,64.7,2019,1,151.671234,-30.50828
ARMIDALE,SYDNEY,65.4,2019,2,151.671234,-30.50828
ARMIDALE,SYDNEY,69.6,2019,3,151.671234,-30.50828
ARMIDALE,SYDNEY,70.8,2019,4,151.671234,-30.50828
ARMIDALE,SYDNEY,69.9,2019,5,151.671234,-30.50828
ARMIDALE,SYDNEY,64.1,2019,6,151.671234,-30.50828
ARMIDALE,SYDNEY,63.2,2019,7,151.671234,-30.50828
ARMIDALE,SYDNEY,65.3,2019,8,151.671234,-30.50828
ARMIDALE,SYDNEY,70.4,2019,9,151.671234,-30.50828
ARMIDALE,SYDNEY,71.7,2019,10,151.671234,-30.50828
ARMIDALE,SYDNEY,76.3,2019,11,151.671234,-30.50828
ARMIDALE,SYDNEY,69.6,2019,12,151.671234,-30.50828
ALICE SPRINGS,DARWIN,44.5,2019,1,133.883621,-23.697479
