date,new_cases,total_cases,country,continent,longitude,latitude
12/31/2019,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/1/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/2/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/3/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/4/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/5/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/6/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/7/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/8/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/9/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/10/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/11/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/12/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/13/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/14/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/15/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/16/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/17/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/18/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/19/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/20/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/21/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/22/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/23/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/24/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/25/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/26/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/27/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/28/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/29/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/30/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
1/31/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/1/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/2/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/3/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/4/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/5/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/6/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/7/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/8/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/9/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/10/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/11/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/12/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/13/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/14/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/15/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/16/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/17/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/18/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/19/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/20/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/21/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/22/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/23/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/24/2020,0.0,0.0,Afghanistan,Asia,29.154857,-19.015438
2/25/2020,1.0,1.0,Afghanistan,Asia,29.154857,-19.015438
2/26/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
2/27/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
2/28/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
2/29/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
3/1/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
3/2/2020,0.0,1.0,Afghanistan,Asia,29.154857,-19.015438
3/3/2020,,,Afghanistan,Asia,29.154857,-19.015438
