latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-18.410999999999998,145.322,334.8,1.3,1.1,2020-01-01,0.0,Terra,80,33.2,D,1,1
-18.42,145.308,346.6,1.3,1.1,2020-01-01,0.0,Terra,91,61.7,D,1,1
-18.422,145.321,340.9,1.3,1.1,2020-01-01,0.0,Terra,86,47.0,D,1,1
-18.438,145.281,338.1,1.3,1.1,2020-01-01,0.0,Terra,71,34.9,D,1,1
-18.439,145.293,331.3,1.3,1.1,2020-01-01,0.0,Terra,48,22.5,D,1,1
-18.148,142.975,338.2,1.0,1.0,2020-01-01,0.0,Terra,65,21.1,D,1,1
-18.16,142.993,337.3,1.0,1.0,2020-01-01,0.0,Terra,76,23.4,D,1,1
-18.297,143.11700000000002,331.4,1.1,1.0,2020-01-01,0.0,Terra,33,11.3,D,1,1
-14.718,143.75,334.1,1.0,1.0,2020-01-01,0.0,Terra,82,21.9,D,1,1
-14.72,143.769,343.0,1.0,1.0,2020-01-01,0.0,Terra,89,35.5,D,1,1
-15.118,141.702,331.8,1.0,1.0,2020-01-01,0.0,Terra,38,14.5,D,1,1
-15.128,141.71,334.2,1.0,1.0,2020-01-01,0.0,Terra,61,17.4,D,1,1
-16.006,145.123,323.4,1.2,1.1,2020-01-01,0.0,Terra,63,14.3,D,1,1
-15.137,141.709,334.4,1.0,1.0,2020-01-01,0.0,Terra,31,15.4,D,1,1
-15.407,142.97,326.0,1.0,1.0,2020-01-01,0.0,Terra,66,10.5,D,1,1
-16.004,145.118,331.8,1.2,1.1,2020-01-01,0.0,Terra,80,28.2,D,1,1
-16.004,145.112,325.7,1.2,1.1,2020-01-01,0.0,Terra,71,17.3,D,1,1
-14.714,143.77700000000002,329.5,1.0,1.0,2020-01-01,0.0,Terra,69,12.7,D,1,1
-14.712,143.767,337.5,1.0,1.0,2020-01-01,0.0,Terra,85,25.2,D,1,1
-14.482999999999999,143.58,321.6,1.0,1.0,2020-01-01,0.0,Terra,58,8.0,D,1,1
-13.205,143.14700000000002,337.2,1.0,1.0,2020-01-01,0.0,Terra,87,27.9,D,1,1
-14.475,143.591,321.7,1.0,1.0,2020-01-01,0.0,Terra,57,7.6,D,1,1
-14.474,143.58100000000002,351.4,1.0,1.0,2020-01-01,0.0,Terra,95,55.8,D,1,1
-16.014,145.111,322.1,1.2,1.1,2020-01-01,0.0,Terra,55,11.5,D,1,1
-16.016,145.122,331.8,1.2,1.1,2020-01-01,0.0,Terra,80,26.9,D,1,1
-16.017,145.13299999999998,328.0,1.2,1.1,2020-01-01,0.0,Terra,74,20.3,D,1,1
-15.573,141.542,333.3,1.0,1.0,2020-01-01,0.0,Terra,48,14.0,D,1,1
-25.413,128.398,326.1,4.5,1.9,2020-01-01,0.0,Terra,57,68.4,D,1,1
-25.403000000000002,128.35399999999998,326.2,4.5,2.0,2020-01-01,0.0,Terra,58,66.5,D,1,1
-25.414,128.405,325.1,4.5,1.9,2020-01-01,0.0,Terra,50,59.0,D,1,1
-25.404,128.361,327.9,4.5,2.0,2020-01-01,0.0,Terra,66,85.7,D,1,1
-25.057,128.939,339.9,4.2,1.9,2020-01-01,0.0,Terra,85,232.0,D,1,1
-25.046999999999997,128.89600000000002,335.8,4.2,1.9,2020-01-01,0.0,Terra,81,181.1,D,1,1
-25.061999999999998,128.898,323.5,4.2,1.9,2020-01-01,0.0,Terra,40,57.2,D,1,1
-25.055,128.946,336.5,4.2,1.9,2020-01-01,0.0,Terra,82,184.7,D,1,1
-25.045,128.903,333.2,4.2,1.9,2020-01-01,0.0,Terra,77,145.6,D,1,1
-25.416999999999998,149.19,325.1,3.1,1.7,2020-01-01,0.0,Terra,42,54.2,D,1,1
-25.405,149.22299999999998,323.5,3.1,1.7,2020-01-01,0.0,Terra,18,49.4,D,1,1
-24.871,147.749,331.6,2.4,1.5,2020-01-01,0.0,Terra,61,55.3,D,1,1
-24.877,147.755,328.9,2.4,1.5,2020-01-01,0.0,Terra,52,42.2,D,1,1
-24.664,146.806,331.3,2.1,1.4,2020-01-01,0.0,Terra,70,38.2,D,1,1
-24.651,146.80700000000002,335.7,2.1,1.4,2020-01-01,0.0,Terra,78,53.8,D,1,1
-21.000999999999998,135.28,334.1,1.8,1.3,2020-01-01,0.0,Terra,68,36.3,D,1,1
-20.998,135.262,337.1,1.8,1.3,2020-01-01,0.0,Terra,75,46.9,D,1,1
-20.993000000000002,135.269,344.9,1.8,1.3,2020-01-01,0.0,Terra,87,80.5,D,1,1
-21.508000000000003,140.77100000000002,343.7,1.0,1.0,2020-01-01,0.0,Terra,85,26.0,D,1,1
-21.499000000000002,140.77200000000002,337.9,1.0,1.0,2020-01-01,0.0,Terra,75,15.7,D,1,1
-21.416999999999998,140.841,352.2,1.0,1.0,2020-01-01,0.0,Terra,94,38.5,D,1,1
