frequency,date
608,1/1/13
612,2/1/13
614,3/1/13
615,4/1/13
616,5/1/13
628,6/1/13
653,7/1/13
699,8/1/13
727,9/1/13
754,10/1/13
762,11/1/13
792,12/1/13
792,13/1/13
792,14/1/13
792,15/1/13
796,16/1/13
800,17/1/13
805,18/1/13
1046,19/1/13
1200,20/1/13
1249,21/1/13
1298,22/1/13
1378,23/1/13
1414,24/1/13
1487,25/1/13
1545,26/1/13
1553,27/1/13
1558,28/1/13
1585,29/1/13
1588,30/1/13
1588,1/2/13
1593,2/2/13
1608,3/2/13
1608,4/2/13
1613,5/2/13
1623,6/2/13
1656,7/2/13
1674,8/2/13
1746,9/2/13
1810,10/2/13
1937,11/2/13
1993,12/2/13
2074,13/2/13
2114,14/2/13
2162,15/2/13
2197,16/2/13
2198,17/2/13
2219,18/2/13
2248,19/2/13
2328,20/2/13
2500,21/2/13
2611,22/2/13
2819,23/2/13
2912,24/2/13
2982,25/2/13
3033,26/2/13
3041,27/2/13
3059,28/2/13
3059,1/3/13
3059,2/3/13
3059,3/3/13
3059,4/3/13
3064,5/3/13
3066,6/3/13
3084,7/3/13
3089,8/3/13
3089,9/3/13
3090,10/3/13
3095,11/3/13
3097,12/3/13
3097,13/3/13
3097,14/3/13
3104,15/3/13
3104,16/3/13
3104,17/3/13
3106,18/3/13
3106,19/3/13
3106,20/3/13
3106,21/3/13
3114,22/3/13
3119,23/3/13
3119,24/3/13
3119,25/3/13
3119,26/3/13
3121,27/3/13
3156,28/3/13
3277,29/3/13
3285,30/3/13
3285,31/3/13
3286,1/4/13
3286,2/4/13
3286,3/4/13
3290,4/4/13
3304,5/4/13
3328,6/4/13
3418,7/4/13
3461,8/4/13
3557,9/4/13
3619,10/4/13
3675,11/4/13
3900,12/4/13
4046,13/4/13
4127,14/4/13
4213,15/4/13
4254,16/4/13
4270,17/4/13
4274,18/4/13
4410,19/4/13
4456,20/4/13
4524,21/4/13
4638,22/4/13
4835,23/4/13
4839,24/4/13
4840,25/4/13
4867,26/4/13
4877,27/4/13
4899,28/4/13
4919,29/4/13
4983,30/4/13
4996,1/5/13
5020,2/5/13
5045,3/5/13
5063,4/5/13
5396,5/5/13
5398,6/5/13
5431,7/5/13
5440,8/5/13
5497,9/5/13
5553,10/5/13
5661,11/5/13
5893,12/5/13
5984,13/5/13
6087,14/5/13
6089,15/5/13
6096,16/5/13
6096,17/5/13
6107,18/5/13
6108,19/5/13
6108,20/5/13
6112,21/5/13
6145,22/5/13
6160,23/5/13
6178,24/5/13
6188,25/5/13
6205,26/5/13
6229,27/5/13
6233,28/5/13
6233,29/5/13
6246,30/5/13
6284,31/5/13
6298,1/6/13
6305,2/6/13
6307,3/6/13
6307,4/6/13
6307,5/6/13
6307,6/6/13
6307,7/6/13
6308,8/6/13
6308,9/6/13
6308,10/6/13
6308,11/6/13
6310,12/6/13
6324,13/6/13
6327,14/6/13
6327,15/6/13
6327,16/6/13
6327,17/6/13
6327,18/6/13
6327,19/6/13
6329,20/6/13
6329,21/6/13
6337,22/6/13
6339,23/6/13
6342,24/6/13
6348,25/6/13
6350,26/6/13
6356,27/6/13
6357,28/6/13
6372,29/6/13
6376,30/6/13
6383,1/7/13
6385,2/7/13
6387,3/7/13
7,4/7/13
7,5/7/13
7,6/7/13
7,7/7/13
7,8/7/13
7,9/7/13
7,10/7/13
7,11/7/13
7,12/7/13
7,13/7/13
7,14/7/13
7,15/7/13
7,16/7/13
7,17/7/13
7,18/7/13
7,19/7/13
7,20/7/13
7,21/7/13
7,22/7/13
7,23/7/13
7,24/7/13
7,25/7/13
7,26/7/13
7,27/7/13
7,28/7/13
7,29/7/13
7,30/7/13
7,31/7/13
7,1/8/13
7,2/8/13
7,3/8/13
8,4/8/13
8,5/8/13
8,6/8/13
8,7/8/13
8,8/8/13
8,9/8/13
8,10/8/13
8,11/8/13
8,12/8/13
8,13/8/13
8,14/8/13
8,15/8/13
8,16/8/13
8,17/8/13
8,18/8/13
8,19/8/13
8,20/8/13
8,21/8/13
8,22/8/13
8,23/8/13
8,24/8/13
8,25/8/13
8,26/8/13
8,27/8/13
8,28/8/13
8,29/8/13
8,30/8/13
8,31/8/13
8,1/9/13
9,2/9/13
9,3/9/13
9,4/9/13
9,5/9/13
9,6/9/13
9,7/9/13
9,8/9/13
9,9/9/13
9,10/9/13
9,11/9/13
9,12/9/13
9,13/9/13
9,14/9/13
9,15/9/13
9,16/9/13
9,17/9/13
9,18/9/13
9,19/9/13
9,20/9/13
9,21/9/13
9,22/9/13
9,23/9/13
9,24/9/13
9,25/9/13
9,26/9/13
9,27/9/13
9,28/9/13
9,29/9/13
9,30/9/13
9,1/10/13
9,2/10/13
9,3/10/13
10,4/10/13
10,5/10/13
10,6/10/13
10,7/10/13
10,8/10/13
10,9/10/13
10,10/10/13
10,11/10/13
10,12/10/13
10,13/10/13
10,14/10/13
10,15/10/13
10,16/10/13
10,17/10/13
10,18/10/13
10,19/10/13
10,20/10/13
10,21/10/13
10,22/10/13
10,23/10/13
10,24/10/13
10,25/10/13
10,26/10/13
10,27/10/13
10,28/10/13
10,29/10/13
10,30/10/13
10,31/10/13
10,1/11/13
10,2/11/13
10,3/11/13
11,4/11/13
11,5/11/13
11,6/11/13
11,7/11/13
11,8/11/13
11,9/11/13
11,10/11/13
11,11/11/13
11,12/11/13
11,13/11/13
11,14/11/13
11,15/11/13
11,16/11/13
11,17/11/13
11,18/11/13
11,19/11/13
11,20/11/13
11,21/11/13
11,22/11/13
11,23/11/13
11,24/11/13
11,25/11/13
11,26/11/13
11,27/11/13
11,28/11/13
11,29/11/13
11,30/11/13
11,1/12/13
11,2/12/13
11,3/12/13
12,4/12/13
12,5/12/13
12,6/12/13
12,7/12/13
12,8/12/13
12,9/12/13
12,10/12/13
12,11/12/13
12,12/12/13
12,13/12/13
12,14/12/13
12,15/12/13
12,16/12/13
12,17/12/13
12,18/12/13
12,19/12/13
12,20/12/13
12,21/12/13
12,22/12/13
12,23/12/13
12,24/12/13
12,25/12/13
12,26/12/13
12,27/12/13
12,28/12/13
12,29/12/13
12,30/12/13
12,31/12/13
12,1/1/14
12,2/1/14
1,3/1/14
1,4/1/14
1,5/1/14
1,6/1/14
1,7/1/14
1,8/1/14
1,9/1/14
1,10/1/14
1,11/1/14
1,12/1/14
1,13/1/14
1,14/1/14
1,15/1/14
1,16/1/14
1,17/1/14
1,18/1/14
1,19/1/14
1,20/1/14
1,21/1/14
1,22/1/14
1,23/1/14
1,24/1/14
1,25/1/14
1,26/1/14
1,27/1/14
1,28/1/14
1,29/1/14
1,30/1/14
1,31/1/14
1,1/2/14
1,2/2/14
2,3/2/14
2,4/2/14
2,5/2/14
2,6/2/14
2,7/2/14
